Date,Headline,Source
24-Apr-24,Pakistan wants cordial ties with neighbours: Khawaja Asif,The Nation
24-Apr-24,Supreme Court moved to form full-court bench over alleged meddling in judicial affairs,The Nation
24-Apr-24,"Here's what you need to know about the payment and eligibility of Punjab ‘Apni Chat, Apna Ghar’ project",The Nation
24-Apr-24,IHC reserves decision on cases against Sheikh Rashid over same allegation,The Nation
24-Apr-24,"Pakistan, Iran for energy cooperation including IP Gas Pipeline",The Nation
24-Apr-24,Sahibzada Hamid named chairman of Public Accounts Committee by PTI founder,The Nation
24-Apr-24,Law minister meets IPC delegation,The Nation
24-Apr-24,LHC declares ECP’s recounting order in NA-79 as void,The Nation
24-Apr-24,LHC CJ refers Fawad's plea for extension in protective bail to division bench,The Nation
24-Apr-24,US warns Pakistan of ‘possible sanctions’ following Iran trade deal,The Nation
24-Apr-24,PM Shehbaz reaches Karachi on day-long visit,The Nation
24-Apr-24,Punjab CM approves ‘Apna Chat Apna Ghar’ project,The Nation
24-Apr-24,Security forces kill terrorist in Pishin IBO,The Nation
24-Apr-24,Pakistan keen to enhance cooperation with Australia: PM,The Nation
24-Apr-24,Iran president pledges to boost ties with Pakistan,The Nation
24-Apr-24,"Raisi wraps up visit, leaves for Tehran",The Nation
24-Apr-24,"PM comes down hard on FBR, suspends officials",The Nation
24-Apr-24,Foreign exchange reserves will reach $10b by June: Aurangzeb,The Nation
24-Apr-24,"Tarar lashes out at PTI leaders, counts govt’s successes",The Nation
24-Apr-24,Law minister for inclusion of rehab aspects in Anti-Narcotics Act,The Nation
24-Apr-24,"Centre, provinces will collaborate to reduce electricity losses: Leghari",The Nation
24-Apr-24,Azam Swati gets bail,The Nation
24-Apr-24,President for comprehensive efforts to prevent heart diseases,The Nation
24-Apr-24,"Pakistan, Iran revive historic friendship",The Nation
24-Apr-24,IHC judges stand united against meddling in judicial matters,The Nation
24-Apr-24,"Chairman JCSC confers civil awards to eminent scientists, engineers",The Nation
24-Apr-24,PTI leaders show grave concern over Bushra’s health issues,The Nation
24-Apr-24,3 terrorists killed in Pashin operation,The Nation
24-Apr-24,"Pakistan, China sign multiple MoUs",The Nation
24-Apr-24,Supreme Court asked to ensure NAP implementation,The Nation
24-Apr-24,"110 urban buses to run in Faisalabad on seven routes, says minister",The Nation
24-Apr-24,"Gilani calls for concerted efforts to tackle environment, population issues",The Nation
25-Apr-24,"SCBA, govt dragging feet on response to meddling issue",Dawn
25-Apr-24,Intelligence agencies lack self-accountability: IHC judge,Dawn
25-Apr-24,"PTI, allies to protest ‘worst-ever’ poll rigging tomorrow",Dawn
25-Apr-24,IHC irked by investigation officer’s absence at Imran’s bail hearing,Dawn
25-Apr-24,One killed as violence disrupts re-polling in Kohlu,Dawn
25-Apr-24,"President Zardari seeks greater Chinese, Australian investment",Dawn
25-Apr-24,UK court set to decide Altaf Hussain appeal in assets case,Dawn
25-Apr-24,"Drug court hands down prison terms, fines in rare verdict",Dawn
25-Apr-24,IHC suspends notification for reduction in roti prices,Express Tribune
25-Apr-24,Bill on tax law tabled in NA,Express Tribune
25-Apr-24,"Wheat import during interim set-up being probed, NA told",Express Tribune
25-Apr-24,Pakistan blocking $399m of airline revenues: IATA,Express Tribune
25-Apr-24,Balochistan bar supports IHC judges’ stance,Express Tribune
25-Apr-24,Vawda raises significant questions on judicial system,Express Tribune
25-Apr-24,"14,000 encroachments surround Nankana",Express Tribune
25-Apr-24,LHC sets aside ECP recount notice,Express Tribune
25-Apr-24,Ex-NA speakers on NAB radar for illegal hiring,Express Tribune
25-Apr-24,Punjab’s Free WiFi project: Complimentary access for public launched at 50 spots in Lahore,The News
25-Apr-24,Security forces eliminate 3 terrorists including ringleaders in Khyber IBO,The News
25-Apr-24,"Pakistan terms US human rights report 'inaccurate, politically biased'",The News
25-Apr-24,VIDEO: Nawaz Sharif offers Fateha at shrine of Hazrat Saad ibn Abi Waqqas (RA) in China,The News
25-Apr-24,Received no complaint of meddling in judiciary since becoming CJP: Justice Isa,The News
25-Apr-24,CM Maryam Nawaz dons police uniform during passing out parade,The News
25-Apr-24,CJP Isa orders sale of Nasla Tower land to compensate affectees,The News
25-Apr-24,Yousafzai says 'toilet cleaner' was mixed in Bushra Bibi's food,The News
25-Apr-24,No confusion about my support for people of Gaza: Malala,The News
25-Apr-24,"Pak-Iran gas pipeline project will be completed, says Khawaja Asif amid US sanctions alert",The News
25-Apr-24,"Bushra Bibi was poisoned during Ramazan, says spokesperson",The Nation
25-Apr-24,"Faisal Vawda, Abdul Wasay sworn in as senators",The Nation
25-Apr-24,Received no complaint of interference in judiciary since assuming charge as CJP: Faez Isa,The Nation
25-Apr-24,No country ready to invest in Pakistan: Omar Ayub,The Nation
25-Apr-24,Army Commanders pay tribute to martyred customs officials,The Nation
25-Apr-24,"Cabinet approves ban on use of 'national' in names of private companies, institutions",The Nation
25-Apr-24,"Supreme Court orders auction of Nasla Tower land, compensation for affected allottees",The Nation
25-Apr-24,Pakistan dismisses 'unfair' US human rights report,The Nation
25-Apr-24,FC man martyred in Bannu gun attack,The Nation
25-Apr-24,"Supreme Court reinstates Balochistan Assembly speaker, annuls ECP's decision",The Nation
25-Apr-24,"Govt, Opp prepare power-sharing framework for NA committees",The Nation
25-Apr-24,"Islamabad chief commissioner removed, Randhawa likely to replace him",The Nation
25-Apr-24,"Remove barriers from outside Governor House, CM House and Rangers headquarters, orders SC",The Nation
25-Apr-24,Two terrorist ring leaders among three killed in Khyber IBO,The Nation
25-Apr-24,Orphanage children to spectate today's T20 match at Gaddafi Stadium,The Nation
25-Apr-24,CJP Qazi Faez Isa returns protocol,The Nation
25-Apr-24,SC reinstates Balochistan Assembly Speaker Abdul Khaliq Achakzai,The Nation
25-Apr-24,President Zardari calls for collective efforts to curb disease on World Malaria Day,The Nation
25-Apr-24,Govt likely to appoint Lahore Commissioner Randhawa as Islamabad chief commissioner,The Nation
25-Apr-24,Pak Army arranges three-day visit for youth in Islamabad,The Nation
25-Apr-24,Would've concluded this trial in one week if had charge of the ATC - I : Judge Sipra,The Nation
25-Apr-24,"IHC to hear PTI founder, Qureshi's appeals against conviction in cipher case",The Nation
25-Apr-24,Malala Yousafzai vows support for Gaza after backlash,The Nation
25-Apr-24,MQM-P  ‘agrees’ on removal of Kamran Tessori,The Nation
25-Apr-24,"Big investment opportunities will benefit all provinces equally, says PM",The Nation
25-Apr-24,"Pakistan, Iran call for resolution of Kashmir issue, action against Israel",The Nation
25-Apr-24,"UN Assistant Secretary-General advocates digital leap, unity for Pakistan’s future",The Nation
25-Apr-24,"No delay in CPEC projects, Zardari tells Chinese delegation",The Nation
25-Apr-24,CM Maryam announces housing scheme for homeless,The Nation
25-Apr-24,Families demand CJP to form larger bench to hear case of civilian prisoners’ trial in military courts,The Nation
25-Apr-24,SC refers matter of military courts to body for larger bench,The Nation
25-Apr-24,PTI has five contradictory stances: PPP,The Nation
25-Apr-24,APNS welcomes appointment of Shajeel as Minister Information Sindh for 3rd term,The Nation
25-Apr-24,"KP cabinet takes decisions related to wheat procurement, health, education",The Nation
25-Apr-24,Law minister meets IPC delegation,The Nation
25-Apr-24,IG Islamabad prioritises public service,The Nation
25-Apr-24,"MQM-P demands better water, sanitation facilities for Port City",The Nation
25-Apr-24,Food Authority team conducts operation in Jackson market harbor area,The Nation
25-Apr-24,"Flags, panaflexes removed from roads, streets for beautification of City: Mayor Karachi",The Nation
25-Apr-24,"Sindh won’t compromise on its rights, PM told",The Nation
25-Apr-24,"Nation looking towards Imran Khan, says Haleem Sheikh",The Nation
25-Apr-24,Women activists seeks review of Khadija suicide case,The Nation
25-Apr-24,Atta Tarar presents Rs 1 million cheque to Karachi Press Club,The Nation
25-Apr-24,Sindh CM accepts resignation of Advisor Allah Dino Bhayo,The Nation
25-Apr-24,IMF board meets on 29th to approve last Pak tranche,The Nation
25-Apr-24,IMF’s positive feedback to boost investments in Pakistan: Blome,The Nation
25-Apr-24,Aerial firing at wedding party leaves 6 dead in Lakki Marwat,The Nation
25-Apr-24,Ambiguous terms in ‘Nikah Nama’ can’t be used against bride: SC,The Nation
25-Apr-24,Imran-Bushra unlawful marriage case hearing put off till 30th,The Nation
25-Apr-24,Govt should take firm stance on US statement: PTI,The Nation
28-Apr-24,"Islamabad, Karachi lawyers seek to become party in meddling case",Dawn
28-Apr-24,PM arrives in Riyadh for WEF special meeting,Dawn
28-Apr-24,Regime change breeds lawlessness in country: PTI,Dawn
28-Apr-24,Quetta court suspends Mehmood Achakzaiâ€™s arrest warrant,Dawn
28-Apr-24,Cipher case judge goes on 20-day leave,Dawn
28-Apr-24,Death toll reaches 22 in Balochistan amid heavy rain,Dawn
28-Apr-24,Terrorist killed as forces thwart attack in Harnai,Dawn
28-Apr-24,Hindutva Raj all set for a third term,Express Tribune
28-Apr-24,KU faculty pens letter expressing solidarity with US campus protests,Express Tribune
28-Apr-24,Dar elevated to deputy PM,Express Tribune
28-Apr-24,France's foreign minister looks to prevent Israel-Hezbollah conflict escalation in Lebanon visit,Express Tribune
28-Apr-24,"Portugal's government rejects paying reparations for colonial, slavery legacy",Express Tribune
28-Apr-24,Police arrest scores of pro-Palestinian protesters on US university campuses,Express Tribune
28-Apr-24,Staying human in the age of AI,Express Tribune
28-Apr-24,Riding the Spanish wave,Express Tribune
28-Apr-24,From Karate Kid to Cobra Kai,Express Tribune
28-Apr-24,"Nomadic footprints, invisible fingerprints",Express Tribune
28-Apr-24,"After 'Shehbaz Speed', PM earns 'Man of Action' title",The News
28-Apr-24,Security forces eliminate two terrorists in DI Khan IBO,The News
28-Apr-24,FIR of South Waziristan sessions judgeâ€™s abduction lodged,The News
28-Apr-24,IHC rubbishes 'contemptuous' social media campaign against Justice Babar Sattar,The News
28-Apr-24,Premier Shehbaz appoints Ishaq Dar as deputy PM of country,The News
28-Apr-24,PM Shehbaz accentuates global inequity in health sector at WEF,The News
28-Apr-24,Most wanted' BLA militant arrested from Karachi's Lyari,The News
28-Apr-24,"Lesco detects 75,276 power pilferers in 222 days",The Nation
28-Apr-24,"PM Shehbaz calls for global health equity, climate resilience at WEF",The Nation
28-Apr-24,Foreign Minister Ishaq Dar appointed Pakistan's deputy prime minister,The Nation
28-Apr-24,Ashrafi vows to provide best facilities to Hajj pilgrims,The Nation
28-Apr-24,Security forces kill two terrorists in DI Khan,The Nation
28-Apr-24,Army holds free medical camp in remote North Waziristan tehsil,The Nation
28-Apr-24,Nadra partners with Ebryx to fortify cybersecurity infrastructure,The Nation
28-Apr-24,"IHC terms campaign against Justice Babar Sattar 'false, malicious'",The Nation
28-Apr-24,Shahid Khaqan Abbasi stresses need for course correction,The Nation
28-Apr-24,"Unless PTI adopts political mindset, meaningful dialogue not possible, says minister",The Nation
28-Apr-24,"Punjab CM's dictionary doesn't include 'No', says Azma Bukhari",The Nation
28-Apr-24,PM Shehbaz praises SIFC's role regarding Saudi investment,The Nation
28-Apr-24,DIK Judge kidnapping: Police forms special probe committee,The Nation
28-Apr-24,PM to attend special meeting of WEF in Riyadh today,The Nation
28-Apr-24,"Pakistan recovers Rs84bln from power thieves, defaulters in crackdown",The Nation
28-Apr-24,Two women dead in Bajaur roof collapse,The Nation
28-Apr-24,1320 MW electricity to be added in national grid from Thar Coal project: Nasir Shah,The Nation
28-Apr-24,PM orders wheat procurement as farmers protest price crash,The Nation
28-Apr-24,SC looking into a firewall against interference: Justice Mansoor Ali Shah,The Nation
28-Apr-24,PTI says ready to hold talks with establishment,The Nation
28-Apr-24,SC orders to clear public roads of encroachments within days,The Nation
28-Apr-24,CM Maryam visits TB hospital in Murree,The Nation
28-Apr-24,KP CM appears in local courts in Islamabad,The Nation
28-Apr-24,JKLF pays tributes to its leader Amanullah Khan on his death anniversary,The Nation
28-Apr-24,"Senate chairman reiterates Pakistanâ€™s commitment to regional, international peace",The Nation
28-Apr-24,Modi regime trying to mislead world about ground situation by staging election drama in IIOJK: APHC,The Nation
28-Apr-24,President PBF proposes national economic recovery plan,The Nation
28-Apr-24,"Construction industry backbone of countryâ€™s economy, says Governor",The Nation
28-Apr-24,"CJP Qazi Faez Isa visits Mazar-e-Quaid, pays homage to father of nation",The Nation
28-Apr-24,FM calls for enhancing economic diplomacy,The Nation
28-Apr-24,Terrorist killed in Balochistanâ€™s Harnai,The Nation
28-Apr-24,Judge abducted from Waziristan,The Nation
28-Apr-24,Naqvi directs special force for foreignersâ€™ security,The Nation
29-Apr-24,Seeking IMF assistance akin to admitting failure: Shahid Khaqan Abbasi,Dawn
29-Apr-24,"Imran wonâ€™t get NRO from establishment, says Punjab information minister",Dawn
29-Apr-24,Top US envoy arrives in Islamabad to engage new regime,Dawn
29-Apr-24,Digital transition key to tackle undocumented economy: Finance Minister Aurangzeb,Dawn
29-Apr-24,Political solutions to Balochistanâ€™s issues sought,Dawn
29-Apr-24,"Two militants killed in D.I. Khan, says ISPR",Dawn
29-Apr-24,Two labourers gunned down in Kech,Dawn
29-Apr-24,PTI seeks return of â€˜stolen mandateâ€™ before reconciliation,Dawn
29-Apr-24,Anti-polio drive aiming to vaccinate 24m children begins today nationwide,Dawn
29-Apr-24,"Record-breaking rally halts as PSX sheds over 1,000 points",Express Tribune
29-Apr-24,"Pak-Saudi economic ties have entered 'new era', says PM Shehbaz",Express Tribune
29-Apr-24,Humza Yousaf quits as Scotland's first minister in boost to Labourâ€™s chances in UK vote,Express Tribune
29-Apr-24,IHCâ€™s clarification only deepens confusion: Vawda,Express Tribune
29-Apr-24,"Second global AI safety summit faces tough questions, lower turnout",Express Tribune
29-Apr-24,At least four terrorists killed in Tank IBO,Express Tribune
29-Apr-24,"Dozens of tornadoes strike Oklahoma, killing at least four",Express Tribune
29-Apr-24,Pakistan envoy attends Khuroâ€™s urs celebration,Express Tribune
29-Apr-24,"Blinken arrives in Saudi Arabia to discuss Israel normalization, post-war Gaza",Express Tribune
29-Apr-24,SIC chief advises PTI to resign from assemblies,Express Tribune
29-Apr-24,"Dar's appointment as deputy PM 'matter of honour', not 'favouritism': Sanaullah",The News
29-Apr-24,"At WEF summit, PM Shehbaz hints at undertaking 'massive economic reforms'",The News
29-Apr-24,JUI-F chief asks govt to respect PTI's 'constitutional rights',The News
29-Apr-24,ASP Shehrbano Naqvi gets hitched to fiance in Lahore,The News
29-Apr-24,Four get life term for facilitating assassins in ex-MQM leader Ali Raza Abidi's murder case,The News
29-Apr-24,Bisham suicide attack: CTD arrests 'four TTP terrorists',The News
29-Apr-24,"Mohsin Naqvi not aware of any 'understanding' between PTI, establishment",The News
29-Apr-24,Pakistan stocks plunge before monetary policy announcement,The News
29-Apr-24,No provision in Constitution for deputy PM's post': PTI,The News
29-Apr-24,Humza Yousaf set to 'call it quits' as Scotland's first minister,The News
29-Apr-24,"Audio leaks case: FIA, PTA, PEMRA pleas seeking Justice Sattar's recusal dismissed",The News
29-Apr-24,Security forces shoot four terrorists dead in Tank gunfight: ISPR,The News
29-Apr-24,Weather update: Karachi expected to sizzle in coming days,The News
29-Apr-24,"Pakistan Saudi Arabia's priority for investment, says Saudi minister",The Nation
29-Apr-24,Four TTP men arrested for Bisham attack,The Nation
29-Apr-24,Barrister Gohar denies 'backdoor talks' with any party,The Nation
29-Apr-24,Fazl questions legitimacy of parliament,The Nation
29-Apr-24,Terrorist ringleaders among four killed in Khyber IBO,The Nation
29-Apr-24,"Turkish commander, COAS Munir discuss measures to enhance defence cooperation",The Nation
29-Apr-24,President confers Nishan-i-Imitaz (M) upon Commander Turkish Land Forces,The Nation
29-Apr-24,Interior Minister Mohsin Naqvi suspends Lahore passport office officers over mess,The Nation
29-Apr-24,CM Maryam inaugurates daycare center at Children's Hospital,The Nation
29-Apr-24,Four jailed for life in MQM leader Ali Raza Abidi's murder case,The Nation
29-Apr-24,Punjab University opens admissions for undergraduate programs for 2024 session,The Nation
29-Apr-24,Punjab Govt committed to provide standard healthcare facilities to masses: CM,The Nation
29-Apr-24,Audio leaks case: Justice Babar Sattar dismisses conflict of interest pleas with heavy fine,The Nation
29-Apr-24,Police launches crackdown against farmers in Punjab over protest call,The Nation
29-Apr-24,Pakistan mulls introducing digital currency,The Nation
29-Apr-24,"Pakistan working tirelessly to eradicate polio from country, PM tells Bill Gates",The Nation
29-Apr-24,Anti-polio drive begins in Pakistanâ€™s 91 districts,The Nation
29-Apr-24,Security forces kill four terrorists in Tank,The Nation
29-Apr-24,IMF board expected to approve $1.1b disbursement for Pakistan today,The Nation
29-Apr-24,"Lawyers, judges, journalists resolve to uphold rule of justice, equality for women",The Nation
29-Apr-24,"Pakistan, Iran move to man border for fighting terrorism",The Nation
29-Apr-24,FM Ishaq Dar appointed as Deputy PM,The Nation
29-Apr-24,Pro-Palestinian protests keep roiling US college campuses,The Nation
29-Apr-24,IHC rejects vilification of Justice Sattar on social media,The Nation
29-Apr-24,"One killed, four injured in Basirpur, Muridke accidents",The Nation
29-Apr-24,Law minister links progress with education,The Nation
29-Apr-24,Continuity of democracy only solution to all issues: Senate chairman,The Nation
29-Apr-24,Rain likely in various parts of country: PMD,The Nation
29-Apr-24,Railways CEO orders inquiry into tragic Mardan incident,The Nation
29-Apr-24,Polling held for local bodies by-elections in KP,The Nation
29-Apr-24,PML-N committed to resolve economic challenges: Rana,The Nation
29-Apr-24,Punjab CM Maryam Nawaz says labour laws being amended,The Nation
29-Apr-24,"Five persons killed, eight injured due to rains in KP",The Nation
29-Apr-24,Measles claims lives of 5 children in Tando Allahyar,The Nation
29-Apr-24,Pakistan Army completes preservation of Captain Kernalâ€™s mausoleum,The Nation
29-Apr-24,Five children die of measles in Tando Allahyar,The Nation
29-Apr-24,PM reaffirms commitment to revive Pakistan's economy in meeting with IMF chief,The Nation
29-Apr-24,"PM Shehbaz, Kuwaiti amir discuss bilateral ties",The Nation
29-Apr-24,"One labourer killed, five wounded in Kurram coal mine explosion",The Nation
29-Apr-24,"PMD forecasts rain, windstorms, thunderstorms for parts of country",The Nation
29-Apr-24,Nationwide polio vaccination drive commences today,The Nation
30-Apr-24,Senators question US firmâ€™s role in FBR digitisation,Dawn
30-Apr-24,PTI slams use of force against protesting farmers,Dawn
30-Apr-24,"Eight â€˜terroristsâ€™ killed in Khyber, Tank operations",Dawn
30-Apr-24,More pleas pour in as SC resumes meddling case hearing today,Dawn
30-Apr-24,"PTA, FIA, Pemra fined Rs1.5m for â€˜frivolousâ€™ recusal pleas",Dawn
30-Apr-24,SC to decide if charities in Karachi should pay more tax,Dawn
30-Apr-24,"Balochistan apex body vows to end terrorism, smuggling",Dawn
30-Apr-24,AKUH among top 100 academic medical centres,Dawn
30-Apr-24,Polio campaign in Balochistan kicks off amid tight security,Dawn
30-Apr-24,Imranâ€™s former aide takes govt to court in UK,Dawn
30-Apr-24,"China hosts Fatah and Hamas in Beijing for reconciliation, talks achieve progress",Express Tribune
30-Apr-24,IMF urges Pakistan to protect 'most vulnerable' sections of society,Express Tribune
30-Apr-24,Negotiations ongoing for Bushraâ€™s jail relocation,Express Tribune
30-Apr-24,Unknown attackers burn solved exam papers in North Waziristan school,Express Tribune
30-Apr-24,"Reported Indian role in assassination plots a 'serious matter', White House says",Express Tribune
30-Apr-24,NAB withdraws LNG reference against Abbasi,Express Tribune
30-Apr-24,Columbia suspends pro-Palestinian protesters after encampment talks stall,Express Tribune
30-Apr-24,Thirty men have died trying to leave Ukraine to avoid fighting since war started,Express Tribune
30-Apr-24,ECP dismisses false declaration plea against Gandapur,Express Tribune
30-Apr-24,Missing persons' compensation delay angers SHC,Express Tribune
30-Apr-24,PM Shehbaz appoints Rana Sanaullah as his adviser on political affairs,The News
30-Apr-24,CM Maryam orders 'strict' implementation of 'one-dish' rule in wedding parties,The News
30-Apr-24,PTI finally forges consensus on Sher Afzal Marwat as candidate for PAC top slot,The News
30-Apr-24,"CJP says 'others' to stay powerful, if parliament not strengthened",The News
30-Apr-24,"Never split up with PTI, says Fawad Chaudhry",The News
30-Apr-24,"Karachi cylinder blast kills two, wounds eight others",The News
30-Apr-24,Shahid Khaqan Abbasi exonerated in LNG terminal case,The News
30-Apr-24,PM Shehbaz stresses need to get rid of loans,The News
30-Apr-24,Two Pakistani drug peddlers caught in Madina region,The News
30-Apr-24,"Transfers, postings of Commissioner Lahore, DCs",The Nation
30-Apr-24,14-year-old boy electrocuted while trying to catch pigeon,The Nation
30-Apr-24,Four arrested in crackdown on criminals in Kasur,The Nation
30-Apr-24,"Man arrested in bid to smuggle 1,300kg betelnut",The Nation
30-Apr-24,PTI ready to talk to establishment: CM Gandapur,The Nation
30-Apr-24,CM Maryam vows to improve prosecution department,The Nation
30-Apr-24,American delegation arrives in Pakistan to discuss Pak-US relations,The Nation
30-Apr-24,Rana Sanaullah appointed PM's adviser on political affairs,The Nation
30-Apr-24,"Bushra Bibi wasn't given poison, rules IHC",The Nation
30-Apr-24,Opposition leader raps govt for arrest of wheat farmers,The Nation
30-Apr-24,LHC seeks reply from Punjab govt on plea challenging wheat procurement policy,The Nation
